,bitscore,annotation
CP113376.1|no_gene_name|tblastn_CasPedia,583.8,cas12f
CP048687.1|no_gene_name|tblastn_CasPedia,583.8,cas12f
CP069244.1|no_gene_name|tblastn_CasPedia,583.8,cas12f
CP113386.1|no_gene_name|tblastn_CasPedia,583.8,cas12f
CP020940.1|no_gene_name|tblastn_CasPedia,585.2,cas12f
CP009901.1|no_gene_name|tblastn_CasPedia,549.7,cas12f
CP076202.1|no_gene_name|tblastn_CasPedia,549.7,cas12f
CP003754.1|no_gene_name|tblastn_CasPedia,579.4,cas12f
CP001747.1|no_gene_name|tblastn_CasPedia,291.4,cas12f
OZ205033.1|no_gene_name|tblastn_CasPedia,291.4,cas12f
CP160828.1|no_gene_name|tblastn_CasPedia,291.4,cas12f
CP091763.1|no_gene_name|tblastn_CasPedia,291.4,cas12f
CP076208.1|no_gene_name|tblastn_CasPedia,291.4,cas12f
CP014177.1|no_gene_name|tblastn_CasPedia,291.4,cas12f
CP012520.1|no_gene_name|tblastn_CasPedia,291.4,cas12f
CP076158.1|no_gene_name|,200.5,cas12f
CP008847.1|no_gene_name|tblastn_CasPedia,291.4,cas12f
CP007665.1|no_gene_name|tblastn_CasPedia,291.4,cas12f
CP023002.1|no_gene_name|tblastn_CasPedia,291.4,cas12f
CP096828.1|no_gene_name|tblastn_CasPedia,291.4,cas12f
CP009316.1|no_gene_name|tblastn_CasPedia,291.4,cas12f
CP147792.1|no_gene_name|tblastn_CasPedia,291.4,cas12f
CP116896.1|no_gene_name|tblastn_CasPedia,291.4,cas12f
CP076174.1|no_gene_name|tblastn_CasPedia,291.4,cas12f
CP002092.1|no_gene_name|tblastn_CasPedia,291.4,cas12f
CP139445.1|no_gene_name|tblastn_CasPedia,291.4,cas12f
CP060195.1|no_gene_name|tblastn_CasPedia,291.4,cas12f
CP019589.1|no_gene_name|tblastn_CasPedia,291.4,cas12f
CP140730.1|no_gene_name|tblastn_CasPedia,291.4,cas12f
CP076139.1|no_gene_name|tblastn_CasPedia,291.4,cas12f
CP047132.1|no_gene_name|tblastn_CasPedia,291.4,cas12f
CP010814.1|no_gene_name|tblastn_CasPedia,291.4,cas12f
CP096825.1|no_gene_name|tblastn_CasPedia,291.3,cas12f
CP147784.1|no_gene_name|tblastn_CasPedia,291.3,cas12f
CP003620.1|no_gene_name|tblastn_CasPedia,985.7,cas12j
AP018166.1|no_gene_name|tblastn_CasPedia,1353.3,cas12k
CP003659.1|no_gene_name|tblastn_CasPedia,1353.3,cas12k
CP186034.1|no_gene_name|tblastn_CasPedia,1353.3,cas12k
CP021056.1|no_gene_name|tblastn_CasPedia,1030.7,cas12k
OZ244627.1|no_gene_name|tblastn_CasPedia,17.4,cas12j
CP091800.1|no_gene_name|tblastn_CasPedia,1869.4,cas12a
CP091797.1|no_gene_name|tblastn_CasPedia,1870.0,cas12a
NC_041879.1|no_gene_name|,470.6,cas12f
CP085195.1|no_gene_name|tblastn_CasPedia,711.6,cas12f
no_accession_number7|Cas12k|tblastn_CasPedia,2192.4,cas12e
CP051188.1|no_gene_name|tblastn_CasPedia,107.0,cas12u
AP017308.1|no_gene_name|tblastn_CasPedia,109.3,cas12u
no_accession_number8|Cas12u|tblastn_CasPedia,125.1,cas12u
no_accession_number9|Cas12u|tblastn_CasPedia,109.9,cas12u
no_accession_number10|Cas12u|tblastn_CasPedia,-1.0,unknown
no_accession_number11|Cas12u|tblastn_CasPedia,125.1,cas12u
no_accession_number12|Cas12u|tblastn_CasPedia,109.9,cas12u
no_accession_number13|Cas12u|tblastn_CasPedia,-1.0,unknown
CP136572.1|no_gene_name|tblastn_CasPedia,123.9,cas12u
LR882949.1|no_gene_name|tblastn_CasPedia,314.3,cas12f
LR882934.1|no_gene_name|tblastn_CasPedia,315.9,cas12f
KU665241.1|no_gene_name|tblastn_CasPedia,125.3,cas12u
