,bitscore,annotation,cassette_id
AE000511|Cas12f|NCBI,212.0,cas12f,1
OY761015|Cas12f|NCBI,448.0,cas1,1
CP053416|Cas12b|NCBI,549.8,cas3,1
CP125009|Cas12b|NCBI,541.7,cas3,1
CP122499|Cas12b|NCBI,285.8,cas12f,1
FP565814|Cas12a|NCBI,265.2,cas12f,1
CP011078|Cas12b|NCBI,266.8,cas12n,1
CP126107|Cas12f|NCBI,171.1,DinG,1
OX638352|Cas12a|NCBI,449.6,cas1,1
OY762010|Cas12f|NCBI,134.6,cas12f,1
OY762722|Cas12a|NCBI,616.2,cas10d,1
CP025045|Cas12f|NCBI,662.8,cas8b,1
AP018216|Cas12a|NCBI,1385.0,cas10d,1
CP098697|Cas12b|NCBI,266.8,cas12n,1
CP051511|Cas12f|NCBI,214.1,cas12n,1
CP050195|Cas12b|NCBI,381.4,cas1,1
CP051434|Cas12f|NCBI,214.1,cas12n,1
AP024205|Cas12b|NCBI,285.8,cas12f,1
AP018335|Cas12f|NCBI,434.8,cas1,1
CP012713|Cas12a|NCBI,565.0,cas8b,1
CP074205|Cas12f|NCBI,438.4,cas3,1
CP021532|Cas12b|NCBI,541.1,cas3,1
LS483428|Cas12b|NCBI,298.0,cas3,1
CP031705|Cas12f|NCBI,1059.3,cas12k,1
OY782867|Cas12f|NCBI,262.3,cas1,1
CP124995|Cas12b|NCBI,541.7,cas3,1
CP000768|Cas12f|NCBI,1017.2,cas9,1
CP137642|Cas12f|NCBI,533.6,cas8c,1
CP014749|Cas12f|NCBI,466.0,cas1,1
CP128454|Cas12f|NCBI,489.4,cas1,1
CP017980|Cas12b|NCBI,609.1,cas8,1
CP031941|Cas12f|NCBI,1229.8,cas10d,1
LR778114|Cas12a|NCBI,463.2,cas8b,1
CP025800|Cas12b|NCBI,266.8,cas12n,1
CP072359|Cas12f|NCBI,294.8,cas1,1
CP019116|Cas12f|NCBI,601.1,cas8,1
CP046244|Cas12f|NCBI,651.0,cas8b,1
CP051206|Cas12f|NCBI,1125.8,cas10d,1
KX119206|Cas12f|NCBI,212.0,cas12f,1
AP018318|Cas12f|NCBI,1182.0,cas12k,1
CP126114|Cas12a|NCBI,173.8,DinG,1
CP080624|Cas12a|NCBI,571.0,cas3,1
CP100429|Cas12a|NCBI,896.6,cas8b,1
CP133830|Cas12f|NCBI,666.8,cas8b,1
CP024701|Cas12f|NCBI,232.3,cas12n,1
CP003600|Cas12f|NCBI,609.3,cas12j,1
OX383078|Cas12a|NCBI,1272.8,cas12c,1
CP059374|Cas12f|NCBI,1051.5,cas9,1
CP010129|Cas12b|NCBI,292.7,cas12f,1
CP051535|Cas12f|NCBI,212.5,cas12n,1
CP002219|Cas12f|NCBI,607.3,cas8b,1
CP092065|Cas12a|NCBI,272.0,cas12n,1
CP034058|Cas12a|NCBI,1366.9,cas10d,1
CP028108|Cas12f|NCBI,828.1,cas8b,1
CP122690|Cas12b|NCBI,610.6,cas8,1
AP017295|Cas12a|NCBI,1169.4,cas12k,1
CP020380|Cas12f|NCBI,666.8,cas8b,1
CP027403|Cas12f|NCBI,1017.2,cas9,1
CP048915|Cas12b|NCBI,381.4,cas1,1
CP126072|Cas12f|NCBI,653.2,cas8b,1
CP007141|Cas12f|NCBI,460.2,cas8b,1
CP030369|Cas12a|NCBI,240.7,cas12f,1
CP117271|Cas12f|NCBI,1072.6,cas10,1
CP072374|Cas12a|NCBI,241.4,cas12f,1
LT838272|Cas12a|NCBI,602.3,cas8b,1
AP013354|Cas12f|NCBI,212.0,cas12f,1
OY762257|Cas12f|NCBI,394.3,cas8b,1
BK030888|Cas12f|NCBI,238.5,cas12f,1
CP091409|Cas12b|NCBI,282.3,cas12f,1
CP117964|Cas12f|NCBI,234.2,cas12n,1
CP003408|Cas12f|NCBI,776.5,cas10,1
OY729511|Cas12f|NCBI,835.7,cas3,1
KX119174|Cas12f|NCBI,212.0,cas12f,1
OR797031|Cas12a|NCBI,284.2,cas12n,1
CP086491|Cas12a|NCBI,284.2,cas12n,1
CP021934|Cas12f|NCBI,895.3,cas8b,1
CP042267|Cas12f|NCBI,656.6,cas8b,1
CP003905|Cas12f|NCBI,212.0,cas12f,1
CP076097|Cas12f|NCBI,441.1,cas3,1
CP116159|Cas12b|NCBI,541.1,cas3,1
CP126110|Cas12a|NCBI,180.5,DinG,1
CP028529|Cas12f|NCBI,657.1,cas8b,1
CP089934|Cas12f|NCBI,289.5,cas12f,1
CP091155|Cas12b|NCBI,609.1,cas8,1
LS483495|Cas12b|NCBI,427.2,cas8,1
CP024700|Cas12a|NCBI,231.4,cas12n,1
CP024705|Cas12f|NCBI,823.3,cas8b,1
CP133831|Cas12a|NCBI,663.7,cas8b,1
CP035913|Cas12a|NCBI,288.7,cas12f,1
CP058250|Cas12f|NCBI,212.7,cas12n,1
CP086471|Cas12a|NCBI,284.2,cas12n,1
CP028325|Cas12f|NCBI,212.2,cas12f,1
AP028832|Cas12a|NCBI,610.2,cas8,1
CP046009|Cas12b|NCBI,609.4,cas8,1
OU701459|Cas12a|NCBI,202.3,cas12n,1
CP001291|Cas12f|NCBI,762.5,cas7,1
BK017243|Cas12f|NCBI,241.0,cas12f,1
CP028578|Cas12b|NCBI,609.1,cas8,1
CP091644|Cas12f|NCBI,1049.9,cas9,1
CP047469|Cas12b|NCBI,479.8,cas8,1
AP013355|Cas12f|NCBI,212.0,cas12f,1
CP003591|Cas12f|NCBI,647.0,cas12j,1
CP072858|Cas12b|NCBI,541.7,cas3,1
AP026673|Cas12b|NCBI,281.6,cas1,1
CP061473|Cas12a|NCBI,593.2,cas9,1
CP075336|Cas12a|NCBI,511.2,cas8b,1
CP003001|Cas12f|NCBI,561.2,cas8b,1
CP009277|Cas12f|NCBI,425.7,cas1,1
CP024785|Cas12a|NCBI,670.6,cas12j,1
CP009518|Cas12a|NCBI,407.0,cas3,1
CP082600|Cas12b|NCBI,593.4,cas8,1
CP029975|Cas12a|NCBI,284.2,cas12n,1
AP014642|Cas12b|NCBI,923.5,cas12j,1
LR782231|Cas12b|NCBI,613.4,cas8,1
CP074206|Cas12f|NCBI,441.1,cas3,1
AP025232|Cas12a|NCBI,233.5,cas12f,1
CP086338|Cas12b|NCBI,541.1,cas3,1
CP104851|Cas12b|NCBI,381.4,cas1,1
CP128449|Cas12f|NCBI,403.7,cas1,1
CP002070|Cas12f|NCBI,244.8,cas12n,1
CP025074|Cas12f|NCBI,467.1,cas1,1
CP114337|Cas12b|NCBI,541.1,cas3,1
BK023444|Cas12f|NCBI,231.3,cas12f,1
AP026503|Cas12b|NCBI,284.4,cas12f,1
AP028641|Cas12f|NCBI,898.1,cas8b,1
CP084641|Cas12b|NCBI,266.8,cas12n,1
CP099464|Cas12f|NCBI,1342.4,cas10d,1
AP027818|Cas12b|NCBI,282.6,cas12f,1
CP106849|Cas12a|NCBI,294.0,cas12f,1
CP092062|Cas12a|NCBI,272.0,cas12n,1
CP139957|Cas12f|NCBI,524.2,csx1,1
CP036177|Cas12b|NCBI,541.1,cas3,1
CP099809|Cas12b|NCBI,266.8,cas12n,1
CP098724|Cas12b|NCBI,266.8,cas12n,1
AP018174|Cas12f|NCBI,1369.2,cas10d,1
CP025281|Cas12f|NCBI,776.3,cas9,1
CP125039|Cas12b|NCBI,541.7,cas3,1
AP028848|Cas12a|NCBI,284.2,cas12n,1
CP085923|Cas12f|NCBI,213.2,cas12f,1
CP032473|Cas12f|NCBI,212.2,cas12f,1
CP000117|Cas12a|NCBI,1366.9,cas10d,1
CP026831|Cas12b|NCBI,613.3,cas8,1
CP073589|Cas12b|NCBI,611.2,cas8,1
CP009539|Cas12b|NCBI,266.8,cas12n,1
CP140504|Cas12b|NCBI,541.1,cas3,1
AP028854|Cas12a|NCBI,284.2,cas12n,1
AP018316|Cas12f|NCBI,1355.3,cas10d,1
CP038860|Cas12f|NCBI,271.3,cas10,1
CP019961|Cas12b|NCBI,535.7,cas3,1
CP037821|Cas12f|NCBI,662.8,cas8b,1
AP028115|Cas12a|NCBI,292.3,cas12f,1
CP085053|Cas12f|NCBI,441.1,cas3,1
CP032663|Cas12f|NCBI,1141.5,cas3,1
CP099813|Cas12b|NCBI,266.8,cas12n,1
CP074211|Cas12b|NCBI,599.4,cas3,1
CP026721|Cas12a|NCBI,395.7,cas10,1
CP003653|Cas12f|NCBI,585.4,cas1,1
OY771309|Cas12f|NCBI,267.3,cas1,1
AP028123|Cas12a|NCBI,292.3,cas12f,1
CP020378|Cas12f|NCBI,666.8,cas8b,1
CP043334|Cas12b|NCBI,381.4,cas1,1
CP076098|Cas12f|NCBI,441.1,cas3,1
CP085717|Cas12f|NCBI,221.3,cas12f,1
CP002351|Cas12a|NCBI,456.0,cas10,1
CP009509|Cas12f|NCBI,351.4,cas1,1
CP063311|Cas12f|NCBI,1203.7,cas10d,1
CP118396|Cas12f|NCBI,401.2,cas8b,1
CP003083|Cas12f|NCBI,317.0,cas12u,1
AP017375|Cas12a|NCBI,720.4,cas12k,1
CP009510|Cas12f|NCBI,457.5,cas8b,1
CP037805|Cas12f|NCBI,662.8,cas8b,1
CP133834|Cas12f|NCBI,659.7,cas8b,1
BK021901|Cas12a|NCBI,274.2,cas12n,1
CP007633|Cas12a|NCBI,456.2,cas1,1
CP043947|Cas12a|NCBI,284.2,cas12n,1
CP098701|Cas12b|NCBI,266.8,cas12n,1
CP012321|Cas12f|NCBI,665.3,cas8b,1
CP092419|Cas12b|NCBI,923.5,cas12j,1
CP074276|Cas12f|NCBI,416.8,cas3,1
CP037823|Cas12f|NCBI,115.5,cas12f,1
CP011484|Cas12f|NCBI,210.5,cas12f,1
CP057163|Cas12b|NCBI,284.6,cas12f,1
CP124543|Cas12f|NCBI,1051.0,cas10d,1
CP032476|Cas12f|NCBI,209.5,cas12f,1
CP017029|Cas12f|NCBI,1048.6,cas9,1
CP011482|Cas12f|NCBI,213.0,cas12n,1
CP035676|Cas12b|NCBI,569.0,cas8,1
CP086511|Cas12a|NCBI,284.2,cas12n,1
CP003096|Cas12a|NCBI,441.7,cas1,1
CP128609|Cas12b|NCBI,282.3,cas12f,1
OY764061|Cas12a|NCBI,451.0,cas1,1
AP025621|Cas12f|NCBI,451.9,cas1,1
CP047242|Cas12a|NCBI,1366.9,cas10d,1
CP018103|Cas12b|NCBI,609.1,cas8,1
CP064923|Cas12a|NCBI,460.5,cas12j,1
CP026681|Cas12f|NCBI,1167.3,cas10d,1
AP028110|Cas12a|NCBI,292.3,cas12f,1
CP020559|Cas12f|NCBI,637.9,cas8b,1
OX639973|Cas12f|NCBI,450.0,cas1,1
CP097213|Cas12b|NCBI,541.1,cas3,1
CP030361|Cas12a|NCBI,262.8,cas12f,1
CP074272|Cas12f|NCBI,441.1,cas3,1
AP028843|Cas12a|NCBI,284.2,cas12n,1
CP037799|Cas12f|NCBI,133.8,cas3,1
CP071094|Cas12f|NCBI,896.6,cas8b,1
CP026324|Cas12f|NCBI,212.0,cas12f,1
CP132144|Cas12f|NCBI,666.5,cas8b,1
CP083877|Cas12b|NCBI,541.1,cas3,1
CP017025|Cas12a|NCBI,1051.4,cas9,1
CP130144|Cas12f|NCBI,982.9,cas12j,1
OY762947|Cas12f|NCBI,284.4,cas12f,1
CP140466|Cas12b|NCBI,541.1,cas3,1
AP018180|Cas12f|NCBI,1196.4,cas12k,1
CP076327|Cas12f|NCBI,441.1,cas3,1
CP071065|Cas12f|NCBI,1048.4,cas12k,1
KU516152|Cas12a|NCBI,2192.4,cas12e,1
CP023834|Cas12b|NCBI,541.1,cas3,1
HE964772|Cas12a|NCBI,655.9,csx17,1
CP005586|Cas12f|NCBI,207.7,cas12f,1
CP064879|Cas12f|NCBI,1205.8,cas10d,1
CP047197|Cas12f|NCBI,1034.0,cas9,1
KF705206|Cas12a|NCBI,284.2,cas12n,1
CP048371|Cas12b|NCBI,541.1,cas3,1
CP003659|Cas12a|NCBI,1353.3,cas12k,1
LR890603|Cas12b|NCBI,609.1,cas8,1
CP094080|Cas12f|NCBI,210.7,cas12n,1
FN668943|Cas12f|NCBI,190.9,cas12n,1
CP032474|Cas12f|NCBI,212.2,cas12f,1
CP129105|Cas12f|NCBI,208.2,cas12n,1
BK050961|Cas12f|NCBI,235.1,cas12f,1
CP034952|Cas12f|NCBI,618.3,cas9,1
CP012036|Cas12a|NCBI,1162.8,cas12k,1
CP000679|Cas12f|NCBI,610.2,cas8b,1
CP054232|Cas12b|NCBI,285.4,cas12f,1
